PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	3PM	3PA	FTM	FTA	REB	AST	STL	BLK	+/-
Kyle Lowry	TOR	TOR vs. NOP	10/22/2019	W	45	22	4	15	3	11	11	13	5	6	2	0	-1
Lonzo Ball	NOP	NOP @ TOR	10/22/2019	L	25	8	2	7	2	3	2	2	5	5	0	0	-7
Nicolo Melli	NOP	NOP @ TOR	10/22/2019	L	20	14	5	7	4	5	0	0	5	2	0	0	11
Jrue Holiday	NOP	NOP @ TOR	10/22/2019	L	41	13	6	15	1	6	0	2	4	6	0	2	-14
OG Anunoby	TOR	TOR vs. NOP	10/22/2019	W	36	11	5	12	1	4	0	1	7	0	0	2	12
Brandon Ingram	NOP	NOP @ TOR	10/22/2019	L	35	22	8	19	2	5	4	4	5	5	1	2	-19
Marc Gasol	TOR	TOR vs. NOP	10/22/2019	W	32	6	2	9	1	4	1	1	4	1	0	0	-2
Norman Powell	TOR	TOR vs. NOP	10/22/2019	W	29	5	2	7	1	5	0	0	8	2	0	0	2
JJ Redick	NOP	NOP @ TOR	10/22/2019	L	27	16	6	9	4	6	0	0	2	1	0	0	-14
Fred VanVleet	TOR	TOR vs. NOP	10/22/2019	W	44	34	12	18	5	7	5	6	5	7	2	0	18
Derrick Favors	NOP	NOP @ TOR	10/22/2019	L	21	6	3	6	0	0	0	0	7	2	0	1	-12
E'Twaun Moore	NOP	NOP @ TOR	10/22/2019	L	12	5	2	7	1	3	0	0	3	2	0	0	-1
Jahlil Okafor	NOP	NOP @ TOR	10/22/2019	L	12	8	3	3	0	0	2	3	2	0	0	1	-7
Frank Jackson	NOP	NOP @ TOR	10/22/2019	L	14	9	3	6	1	3	2	2	0	1	0	0	7
Josh Hart	NOP	NOP @ TOR	10/22/2019	L	28	15	4	9	3	5	4	4	10	1	0	1	-1
Kenrich Williams	NOP	NOP @ TOR	10/22/2019	L	18	3	0	4	0	2	3	3	6	3	1	2	11
Nickeil Alexander-Walker	NOP	NOP @ TOR	10/22/2019	L	12	3	1	10	1	7	0	0	4	2	2	0	6
Pascal Siakam	TOR	TOR vs. NOP	10/22/2019	W	38	34	11	26	2	5	10	11	18	5	0	1	5
Terence Davis	TOR	TOR vs. NOP	10/22/2019	W	15	5	2	6	1	3	0	0	5	2	2	0	0
Serge Ibaka	TOR	TOR vs. NOP	10/22/2019	W	26	13	4	10	0	1	5	6	5	0	1	0	6
Anthony Davis	LAL	LAL @ LAC	10/22/2019	L	37	25	8	21	0	2	9	14	9	5	1	2	3
LeBron James	LAL	LAL @ LAC	10/22/2019	L	36	18	7	19	1	5	3	4	10	8	1	1	-8
Quinn Cook	LAL	LAL @ LAC	10/22/2019	L	17	4	2	7	0	3	0	0	1	2	0	0	-9
Jared Dudley	LAL	LAL @ LAC	10/22/2019	L	13	6	2	2	2	2	0	0	0	0	0	0	-20
Kentavious Caldwell-Pope	LAL	LAL @ LAC	10/22/2019	L	27	0	0	3	0	2	0	0	3	3	0	0	-8
Montrezl Harrell	LAC	LAC vs. LAL	10/22/2019	W	38	17	7	11	0	0	3	8	7	4	1	1	15
JaMychal Green	LAC	LAC vs. LAL	10/22/2019	W	19	12	4	8	4	7	0	0	6	0	0	0	5
Kawhi Leonard	LAC	LAC vs. LAL	10/22/2019	W	32	30	10	19	1	5	9	10	6	5	2	1	5
Dwight Howard	LAL	LAL @ LAC	10/22/2019	L	19	3	1	3	0	0	1	1	6	1	0	1	-1
Patrick Beverley	LAC	LAC vs. LAL	10/22/2019	W	31	2	1	7	0	5	0	0	10	6	0	1	13
Patrick Patterson	LAC	LAC vs. LAL	10/22/2019	W	17	4	1	3	1	3	1	2	3	0	0	0	-2
Ivica Zubac	LAC	LAC vs. LAL	10/22/2019	W	10	8	4	4	0	0	0	0	1	0	0	0	-5
Landry Shamet	LAC	LAC vs. LAL	10/22/2019	W	26	8	3	8	2	4	0	0	3	2	0	0	-1
JaVale McGee	LAL	LAL @ LAC	10/22/2019	L	17	4	2	3	0	0	0	0	2	0	0	2	0
Danny Green	LAL	LAL @ LAC	10/22/2019	L	32	28	10	14	7	9	1	1	7	0	2	1	7
Avery Bradley	LAL	LAL @ LAC	10/22/2019	L	24	8	3	7	2	5	0	0	3	0	0	0	-1
Troy Daniels	LAL	LAL @ LAC	10/22/2019	L	16	6	2	6	1	5	1	1	0	1	0	0	-13
Maurice Harkless	LAC	LAC vs. LAL	10/22/2019	W	29	10	4	7	2	3	0	0	4	0	4	2	7
Lou Williams	LAC	LAC vs. LAL	10/22/2019	W	37	21	8	14	1	4	4	4	5	7	1	0	13
Nicolas Batum	CHA	CHA vs. CHI	10/23/2019	W	11	0	0	0	0	0	0	0	4	2	0	0	1
Dwayne Bacon	CHA	CHA vs. CHI	10/23/2019	W	33	22	8	21	2	8	4	6	5	3	2	0	-3
Miles Bridges	CHA	CHA vs. CHI	10/23/2019	W	32	8	4	7	0	2	0	0	5	3	0	3	2
Wendell Carter Jr.	CHI	CHI @ CHA	10/23/2019	L	29	12	5	11	0	0	2	2	9	0	0	1	3
Thaddeus Young	CHI	CHI @ CHA	10/23/2019	L	25	17	7	11	3	5	0	0	3	2	1	0	11
Marvin Williams	CHA	CHA vs. CHI	10/23/2019	W	17	17	6	9	5	7	0	0	2	1	0	0	1
