TEAM	MATCH UP	GAME DATE	W/L	PTS	+/-
NOP	NOP @ TOR	10/22/2019	L	122	-8
TOR	TOR vs. NOP	10/22/2019	W	130	8
LAL	LAL @ LAC	10/22/2019	L	102	-10
LAC	LAC vs. LAL	10/22/2019	W	112	10
CHA	CHA vs. CHI	10/23/2019	W	126	1
CHI	CHI @ CHA	10/23/2019	L	125	-1
WAS	WAS @ DAL	10/23/2019	L	100	-8
DAL	DAL vs. WAS	10/23/2019	W	108	8
DET	DET @ IND	10/23/2019	W	119	9
IND	IND vs. DET	10/23/2019	L	110	-9
UTA	UTA vs. OKC	10/23/2019	W	100	5
OKC	OKC @ UTA	10/23/2019	L	95	-5
DEN	DEN @ POR	10/23/2019	W	108	8
POR	POR vs. DEN	10/23/2019	L	100	-8
MIA	MIA vs. MEM	10/23/2019	W	120	19
MEM	MEM @ MIA	10/23/2019	L	101	-19
CLE	CLE @ ORL	10/23/2019	L	85	-9
ORL	ORL vs. CLE	10/23/2019	W	94	9
BKN	BKN vs. MIN	10/23/2019	L	126	-1
MIN	MIN @ BKN	10/23/2019	W	127	1
PHX	PHX vs. SAC	10/23/2019	W	124	29
SAC	SAC @ PHX	10/23/2019	L	95	-29
SAS	SAS vs. NYK	10/23/2019	W	120	9
NYK	NYK @ SAS	10/23/2019	L	111	-9
PHI	PHI vs. BOS	10/23/2019	W	107	14
BOS	BOS @ PHI	10/23/2019	L	93	-14
ATL	ATL @ DET	10/24/2019	W	117	17
DET	DET vs. ATL	10/24/2019	L	100	-17
MIL	MIL @ HOU	10/24/2019	W	117	6
HOU	HOU vs. MIL	10/24/2019	L	111	-6
GSW	GSW vs. LAC	10/24/2019	L	122	-19
LAC	LAC @ GSW	10/24/2019	W	141	19
DAL	DAL @ NOP	10/25/2019	W	123	7
NOP	NOP vs. DAL	10/25/2019	L	116	-7
MEM	MEM vs. CHI	10/25/2019	L	102	-8
CHI	CHI @ MEM	10/25/2019	W	110	8
OKC	OKC vs. WAS	10/25/2019	L	85	-12
WAS	WAS @ OKC	10/25/2019	W	97	12
MIN	MIN @ CHA	10/25/2019	W	121	22
CHA	CHA vs. MIN	10/25/2019	L	99	-22
SAC	SAC vs. POR	10/25/2019	L	112	-10
POR	POR @ SAC	10/25/2019	W	122	10
PHX	PHX @ DEN	10/25/2019	L	107	-1
DEN	DEN vs. PHX	10/25/2019	W	108	1
BOS	BOS vs. TOR	10/25/2019	W	112	6
TOR	TOR @ BOS	10/25/2019	L	106	-6
NYK	NYK @ BKN	10/25/2019	L	109	-4
BKN	BKN vs. NYK	10/25/2019	W	113	4
LAL	LAL vs. UTA	10/25/2019	W	95	9
UTA	UTA @ LAL	10/25/2019	L	86	-9
ORL	ORL @ ATL	10/26/2019	L	99	-4
ATL	ATL vs. ORL	10/26/2019	W	103	4
